radar,date,time,pulse,dataset,elevation_deg,finite_gate_count,receiver_noise_count,receiver_noise_fraction,receiver_noise_max_dbz,receiver_noise_ge_10_dbz,receiver_noise_ge_20_dbz,ci_finite_count,ci_low_count,ci_high_count,near_zero_vrad_count,low_sqi_count,receiver_noise_figure_h_db,receiver_noise_figure_v_db,ambient_noise_h_median,ambient_noise_v_median,source_url
castor-bay,20260711,2100,lp,dataset2,0.95,153000,18662,0.12197385620915033,-7.899999618530273,0,0,153000,9648,125411,35408,41844,6.39,7.1,23.31999969482422,23.239999771118164,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/07/11/lp/20260711_polar_pl_radar07_aggregate_lp_2100.h5
castor-bay,20260711,2100,lp,dataset3,1.95,153000,5184,0.03388235294117647,-7.0,0,0,153000,4235,85936,29176,21442,5.47,6.9,23.229999542236328,23.1200008392334,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/07/11/lp/20260711_polar_pl_radar07_aggregate_lp_2100.h5
castor-bay,20260711,2100,lp,dataset4,2.95,153000,5351,0.03497385620915033,-6.5,0,0,153000,4314,87004,27404,21685,5.39,6.77,23.170000076293945,23.079999923706055,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/07/11/lp/20260711_polar_pl_radar07_aggregate_lp_2100.h5
castor-bay,20260711,2100,lp,dataset5,3.95,153000,5353,0.03498692810457516,-6.5,0,0,153000,4136,87102,27302,21906,5.43,6.9,23.149999618530273,23.06999969482422,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/07/11/lp/20260711_polar_pl_radar07_aggregate_lp_2100.h5
castor-bay,20260711,2100,sp,dataset1,0.95,68040,12139,0.17840975896531452,14.400001525878906,6416,0,68040,4505,54606,12237,40252,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/07/11/sp/20260711_polar_pl_radar07_aggregate_sp_2100.h5
castor-bay,20260711,2100,sp,dataset2,1.95,68040,14258,0.20955320399764843,14.299999237060547,6629,0,68040,995,61766,6168,45093,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/07/11/sp/20260711_polar_pl_radar07_aggregate_sp_2100.h5
castor-bay,20260711,2100,sp,dataset3,4.0,68040,14745,0.21671075837742504,14.200000762939453,6416,0,68040,1036,62302,5100,46663,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/07/11/sp/20260711_polar_pl_radar07_aggregate_sp_2100.h5
castor-bay,20260711,2100,sp,dataset4,6.0,68040,15319,0.2251469723691946,14.10000228881836,6554,0,68040,973,62584,4623,47941,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/07/11/sp/20260711_polar_pl_radar07_aggregate_sp_2100.h5
castor-bay,20260711,2100,sp,dataset5,8.95,68040,16191,0.23796296296296296,14.10000228881836,6657,0,68040,781,63137,4099,49753,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/07/11/sp/20260711_polar_pl_radar07_aggregate_sp_2100.h5
castor-bay,20260711,2100,sp,dataset6,89.9,57600,1070,0.01857638888888889,-6.0,0,0,57600,7422,34436,13600,7324,,,-32.0,-32.0,https://ncas-radar-o.s3-ext.jc.rl.ac.uk/uk-wsr-visualizer-public/ukmo-nimrod/pvol/castor-bay/2026/07/11/sp/20260711_polar_pl_radar07_aggregate_sp_2100.h5
